Duration_ms,PacketCount,PktCount,PktSum,PktMean,PktMin,PktMax,PktStd,IATCount,IATSum_ms,IATMean_ms,IATMin_ms,IATMax_ms,IATStd_ms,label
258.463,14,14,5979,427.071,93,1292,483.398,13,258.463,19.882,0.002,74.104,22.371,0
3199.405,17,17,4934,290.235,54,1354,424.763,16,3199.405,199.963,0.005,2058.473,494.341,0
0.0,1,1,93,93.0,93,93,0.0,0,0.0,0.0,0.0,0.0,0.0,0
109996.857,7,7,5626,803.714,54,1514,675.402,6,109996.857,18332.809,0.001,109991.424,40990.979,1
109938.416,11,11,5077,461.545,54,1514,552.471,10,109938.416,10993.842,0.004,60653.433,20094.737,1
0.0,1,1,220,220.0,220,220,0.0,0,0.0,0.0,0.0,0.0,0.0,1
433.652,12,12,5007,417.25,93,1292,459.017,11,433.652,39.423,0.023,113.468,36.582,0
0.0,1,1,81,81.0,81,81,0.0,0,0.0,0.0,0.0,0.0,0.0,0
0.0,1,1,79,79.0,79,79,0.0,0,0.0,0.0,0.0,0.0,0.0,1
0.0,1,1,283,283.0,283,283,0.0,0,0.0,0.0,0.0,0.0,0.0,1
0.0,1,1,80,80.0,80,80,0.0,0,0.0,0.0,0.0,0.0,0.0,0
125.359,2,2,120,60.0,54,66,6.0,1,125.359,125.359,125.359,125.359,0.0,1
0.0,1,1,96,96.0,96,96,0.0,0,0.0,0.0,0.0,0.0,0.0,0
304.97,3,3,3876,1292.0,1292,1292,0.0,2,304.97,152.485,0.003,304.967,152.482,0
0.0,1,1,138,138.0,138,138,0.0,0,0.0,0.0,0.0,0.0,0.0,1
0.0,1,1,66,66.0,66,66,0.0,0,0.0,0.0,0.0,0.0,0.0,0
0.0,1,1,75,75.0,75,75,0.0,0,0.0,0.0,0.0,0.0,0.0,0
128539.969,181,181,242562,1340.122,54,1514,421.837,180,128539.969,714.111,0.001,126961.01,9436.442,1
0.0,1,1,183,183.0,183,183,0.0,0,0.0,0.0,0.0,0.0,0.0,0
0.0,1,1,138,138.0,138,138,0.0,0,0.0,0.0,0.0,0.0,0.0,1
0.0,1,1,95,95.0,95,95,0.0,0,0.0,0.0,0.0,0.0,0.0,0
150328.365,15,15,1762,117.467,60,597,139.731,14,150328.365,10737.74,0.116,150242.307,38691.606,1
98.545,5,5,743,148.6,54,515,183.259,4,98.545,24.636,0.129,93.062,39.519,1
0.0,1,1,157,157.0,157,157,0.0,0,0.0,0.0,0.0,0.0,0.0,0
0.0,1,1,74,74.0,74,74,0.0,0,0.0,0.0,0.0,0.0,0.0,1
