Duration_ms,PacketCount,PktCount,PktSum,PktMean,PktMin,PktMax,PktStd,IATCount,IATSum_ms,IATMean_ms,IATMin_ms,IATMax_ms,IATStd_ms
64222.452,4,4,246,61.500,60,66,2.598,3,64222.452,21407.484,1.442,64217.075,30270.952
108013.388,4,4,246,61.500,60,66,2.598,3,108013.388,36004.463,278.640,107455.420,50523.456
109978.971,7,7,5559,794.143,54,1514,674.302,6,109978.971,18329.828,0.002,109975.766,40985.309
0.000,1,1,244,244.000,244,244,0.000,0,0.000,0.000,0.000,0.000,0.000
0.000,1,1,128,128.000,128,128,0.000,0,0.000,0.000,0.000,0.000,0.000
42355.260,13,13,1427,109.769,60,403,115.788,12,42355.260,3529.605,0.096,35155.311,9650.348
42355.031,10,10,9819,981.900,54,1514,651.688,9,42355.031,4706.115,0.001,35428.392,10991.108
67355.233,31,31,34930,1126.774,54,1514,612.700,30,67355.233,2245.174,0.001,57351.377,10389.026
0.000,1,1,82,82.000,82,82,0.000,0,0.000,0.000,0.000,0.000,0.000
60211.347,6,6,642,107.000,60,336,102.435,5,60211.347,12042.269,0.580,59945.559,23951.677
356.911,6,6,963,160.500,60,412,143.390,5,356.911,71.382,5.609,308.939,118.909
354.902,6,6,758,126.333,60,305,95.977,5,354.902,70.980,3.508,309.490,119.416
133844.416,8,8,720,90.000,60,294,77.130,7,133844.416,19120.631,0.391,61439.672,26951.684
107734.564,3,3,174,58.000,54,66,5.657,2,107734.564,53867.282,0.025,107734.539,53867.257
64223.164,7,7,3299,471.286,54,1446,572.542,6,64223.164,10703.861,0.001,64220.895,23933.545
0.000,1,1,76,76.000,76,76,0.000,0,0.000,0.000,0.000,0.000,0.000
62599.539,5,5,3101,620.200,54,1514,689.306,4,62599.539,15649.885,0.021,56821.067,23871.174
41244.511,136,136,199740,1468.676,54,1514,238.943,135,41244.511,305.515,0.000,32433.385,2819.057
62599.585,7,7,660,94.286,60,294,81.559,6,62599.585,10433.264,0.214,56547.994,20716.351
0.000,1,1,241,241.000,241,241,0.000,0,0.000,0.000,0.000,0.000,0.000
0.000,1,1,155,155.000,155,155,0.000,0,0.000,0.000,0.000,0.000,0.000
0.000,1,1,82,82.000,82,82,0.000,0,0.000,0.000,0.000,0.000,0.000
0.000,1,1,77,77.000,77,77,0.000,0,0.000,0.000,0.000,0.000,0.000
63770.412,14,14,4399,314.214,54,1446,474.516,13,63770.412,4905.416,0.003,63755.243,16988.482
152798.226,12,12,1049,87.417,60,383,89.137,11,152798.226,13890.748,275.613,103160.828,28901.156
6246.951,4,4,1690,422.500,54,1060,411.384,3,6246.951,2082.317,277.284,5516.780,2429.590
0.000,1,1,171,171.000,171,171,0.000,0,0.000,0.000,0.000,0.000,0.000
153560.432,13,13,7196,553.538,54,1514,612.210,12,153560.432,12796.703,0.006,153526.175,42431.533
0.000,1,1,112,112.000,112,112,0.000,0,0.000,0.000,0.000,0.000,0.000
63773.191,16,16,1398,87.375,60,259,55.695,15,63773.191,4251.546,0.056,63755.191,15903.018
26129.051,415,415,623328,1501.995,54,1514,126.844,414,26129.051,63.114,0.001,20356.792,1016.750
0.000,1,1,208,208.000,208,208,0.000,0,0.000,0.000,0.000,0.000,0.000
67606.984,3,3,174,58.000,54,66,5.657,2,67606.984,33803.492,15004.529,52602.455,18798.963
41502.276,39,39,53809,1379.718,54,1514,405.470,38,41502.276,1092.165,0.001,35710.956,5740.054
0.000,1,1,72,72.000,72,72,0.000,0,0.000,0.000,0.000,0.000,0.000
109978.879,15,15,18084,1205.600,54,1514,559.744,14,109978.879,7855.634,0.001,109609.533,28221.498
0.000,1,1,125,125.000,125,125,0.000,0,0.000,0.000,0.000,0.000,0.000
6014.436,8,8,1432,179.000,179,179,0.000,7,6014.436,859.205,0.433,2781.277,1218.964
42.125,53,53,73059,1378.472,54,1514,420.108,52,42.125,0.810,0.001,11.679,2.501
63769.605,17,17,5076,298.588,54,1446,441.160,16,63769.605,3985.600,0.003,63716.848,15422.545
30335.917,3,3,186,62.000,60,66,2.828,2,30335.917,15167.959,2.425,30333.492,15165.533
0.000,1,1,81,81.000,81,81,0.000,0,0.000,0.000,0.000,0.000,0.000
0.000,1,1,283,283.000,283,283,0.000,0,0.000,0.000,0.000,0.000,0.000
58.361,14,14,1316,94.000,60,265,63.564,13,58.361,4.489,0.021,36.199,9.619
0.000,1,1,75,75.000,75,75,0.000,0,0.000,0.000,0.000,0.000,0.000
349.267,6,6,798,133.000,54,516,171.339,5,349.267,69.853,5.829,290.882,110.644
110006.287,12,12,7280,606.667,54,1514,653.813,11,110006.287,10000.572,0.001,109693.095,31525.578
133844.382,7,7,1189,169.857,54,853,278.923,6,133844.382,22307.397,0.528,61439.876,27880.981
0.000,1,1,288,288.000,288,288,0.000,0,0.000,0.000,0.000,0.000,0.000
67355.280,32,32,2230,69.688,60,364,52.870,31,67355.280,2172.751,0.030,57350.081,10227.345
30335.657,3,3,174,58.000,54,66,5.657,2,30335.657,15167.828,0.025,30335.632,15167.803
402.917,6,6,785,130.833,60,305,100.194,5,402.917,80.583,3.930,356.391,138.035
0.000,1,1,164,164.000,164,164,0.000,0,0.000,0.000,0.000,0.000,0.000
62875.026,4,4,246,61.500,60,66,2.598,3,62875.026,20958.342,274.753,62324.826,29250.521
9267.631,45,45,55164,1225.867,54,1514,533.650,44,9267.631,210.628,0.001,5093.370,884.739
50.032,47,47,3503,74.532,60,427,64.750,46,50.032,1.088,0.028,11.191,2.717
52.482,46,46,3443,74.848,60,427,65.414,45,52.482,1.166,0.040,11.951,2.865
0.000,1,1,143,143.000,143,143,0.000,0,0.000,0.000,0.000,0.000,0.000
351.196,6,6,798,133.000,54,516,171.339,5,351.196,70.239,5.958,290.503,110.297
6246.959,3,3,699,233.000,54,579,244.708,2,6246.959,3123.479,731.262,5515.697,2392.218
49.052,16,16,1929,120.562,60,691,157.126,15,49.052,3.270,0.014,28.686,7.254
5775.114,24,24,32518,1354.917,54,1514,430.553,23,5775.114,251.092,0.002,4953.823,1006.802
41483.171,7,7,6133,876.143,54,1514,709.253,6,41483.171,6913.862,0.002,35705.667,13028.515
0.000,1,1,90,90.000,90,90,0.000,0,0.000,0.000,0.000,0.000,0.000
153562.493,15,15,1762,117.467,60,597,139.731,14,153562.493,10968.749,0.079,153523.647,39537.615
43557.975,15,15,1225,81.667,60,259,55.973,14,43557.975,3111.284,0.017,23552.520,7643.469
110090.308,19,19,8535,449.211,60,1494,577.917,18,110090.308,6116.128,0.069,109609.375,25100.828
26402.852,4,4,246,61.500,60,66,2.598,3,26402.852,8800.951,274.623,25853.373,12057.883
520496.650,19,19,4477,235.632,221,251,11.536,18,520496.650,28916.481,0.114,154250.544,44926.411
722.040,182,182,12252,67.319,60,374,41.372,181,722.040,3.989,0.018,437.748,33.377
64221.028,2,2,120,60.000,54,66,6.000,1,64221.028,64221.028,64221.028,64221.028,0.000
64203.897,69,69,4789,69.406,60,267,38.065,68,64203.897,944.175,0.032,63978.650,7700.909
38.136,41,41,54891,1338.805,54,1514,470.317,40,38.136,0.953,0.001,10.922,2.782
67606.942,4,4,246,61.500,60,66,2.598,3,67606.942,22535.647,4.522,52597.984,22121.745
577131.713,30,30,1530,51.000,42,60,9.000,29,577131.713,19901.094,0.014,111871.694,25460.407
80041.853,25,25,25550,1022.000,54,1514,649.197,24,80041.853,3335.077,0.002,61827.511,12710.488
0.000,1,1,83,83.000,83,83,0.000,0,0.000,0.000,0.000,0.000,0.000
64201.701,67,67,75439,1125.955,54,1446,552.722,66,64201.701,972.753,0.001,63989.378,7816.274
